Name,StartingLetter,Ethnicity,Region,Religion,Gender,NumerologyConstraints
lea,L,Asian,Europe,Christianity,F,1
Julia,J,African,Europe,Christianity,F,2
Laura,L,German,Europe,Christianity,F,3
Anna,A,American,Europe,Christianity,F,4
Lisa,L,Irish,Europe,Christianity,F,5
Lena,L,English,Europe,Christianity,F,6
Sarah,S,Asian,Europe,Christianity,F,7
Katharina,K,African,Europe,Christianity,F,8
johanna,J,German,Europe,Christianity,F,9
Sophie,S,American,Europe,Christianity,F,1
Marie,M,Irish,Europe,Christianity,F,2
Leonie,L,English,Europe,Christianity,F,3
Vanessa,V,Asian,Europe,Christianity,F,4
Alina,A,African,Europe,Christianity,F,5
Lara,L,German,Europe,Christianity,F,6
Jana,J,American,Europe,Christianity,F,7
Hannah,H,Irish,Europe,Christianity,F,8
Jessica,J,English,Europe,Christianity,F,9
Annika,A,Asian,Europe,Christianity,F,1
Luisa,L,African,Europe,Christianity,F,2
Alex,A,German,Europe,Christianity,M,3
Lukas,L,American,Europe,Christianity,M,4
Michael,M,Irish,Europe,Christianity,M,5
Daniel,D,English,Europe,Christianity,M,6
Philipp,P,Asian,Europe,Christianity,M,7
Jonas,J,African,Europe,Christianity,M,8
Fabian,F,German,Europe,Christianity,M,9
Marcel,M,American,Europe,Christianity,M,1
Tim,T,Irish,Europe,Christianity,M,2
Kevin,K,English,Europe,Christianity,M,3
Jan,J,Asian,Europe,Christianity,M,4
David,D,African,Europe,Christianity,M,5
Tom,T,German,Europe,Christianity,M,6
Markus,M,American,Europe,Christianity,M,7
Sebastian,S,Irish,Europe,Christianity,M,8
Julian,J,English,Europe,Christianity,M,9
leon,L,Asian,Europe,Christianity,M,1
Christoph,C,African,Europe,Christianity,M,2
Simon,S,German,Europe,Christianity,M,3
felix,F,American,Europe,Christianity,M,4
lea,L,Irish,Asia,Buddhism,F,1
Julia,J,English,Asia,Christianity,F,2
Laura,L,Asian,Asia,Greek,F,3
Anna,A,African,Asia,Hindu,F,4
Lisa,L,German,Asia,Islam,F,5
Lena,L,American,Asia,Jainism,F,6
Sarah,S,Irish,Asia,Judaism,F,7
Katharina,K,English,Asia,Shinto,F,8
johanna,J,Asian,Asia,Sikh,F,9
Sophie,S,African,Asia,Zoroastrianism,F,1
Marie,M,German,Asia,Buddhism,F,2
Leonie,L,American,Asia,Christianity,F,3
Vanessa,V,Irish,Asia,Greek,F,4
Alina,A,English,Asia,Hindu,F,5
Lara,L,Asian,Asia,Islam,F,6
Jana,J,African,Asia,Jainism,F,7
Hannah,H,German,Asia,Judaism,F,8
Jessica,J,American,Asia,Shinto,F,9
Annika,A,Irish,Asia,Sikh,F,1
Luisa,L,English,Asia,Zoroastrianism,F,2
Alex,A,Asian,Asia,Buddhism,M,3
Lukas,L,African,Asia,Christianity,M,4
Michael,M,German,Asia,Greek,M,5
Daniel,D,American,Asia,Hindu,M,6
Philipp,P,Irish,Asia,Islam,M,7
Jonas,J,English,Asia,Jainism,M,8
Fabian,F,Asian,Asia,Judaism,M,9
Marcel,M,African,Asia,Shinto,M,1
Tim,T,German,Asia,Sikh,M,2
Kevin,K,American,Asia,Zoroastrianism,M,3
Jan,J,Irish,Asia,Christianity,M,4
David,D,English,Asia,Christianity,M,5
Tom,T,Asian,Asia,Christianity,M,6
Markus,M,African,Asia,Christianity,M,7
Sebastian,S,German,Asia,Christianity,M,8
Julian,J,American,Asia,Christianity,M,9
leon,L,Irish,Asia,Christianity,M,1
Christoph,C,English,Asia,Christianity,M,2
Simon,S,Asian,Asia,Christianity,M,3
felix,F,African,Asia,Christianity,M,4
lea,L,German,Europe,Buddhism,F,1
Julia,J,American,Europe,Christianity,F,2
Laura,L,Irish,Europe,Greek,F,3
Anna,A,English,Europe,Hindu,F,4
Lisa,L,Asian,Europe,Islam,F,5
Lena,L,African,Europe,Jainism,F,6
Sarah,S,German,Europe,Judaism,F,7
Katharina,K,American,Europe,Shinto,F,8
johanna,J,Irish,Europe,Sikh,F,9
Sophie,S,English,Europe,Zoroastrianism,F,1
Marie,M,Asian,Europe,Christianity,F,2
Leonie,L,African,Europe,Christianity,F,3
Vanessa,V,German,Europe,Christianity,F,4
Alina,A,American,Europe,Christianity,F,5
Lara,L,Irish,Europe,Buddhism,F,6
Jana,J,English,Europe,Christianity,F,7
Hannah,H,Asian,Europe,Greek,F,8
Jessica,J,African,Europe,Hindu,F,9
Annika,A,German,Europe,Islam,F,1
Luisa,L,American,Europe,Jainism,F,2
Alex,A,Irish,Europe,Judaism,M,3
Lukas,L,English,Europe,Shinto,M,4
Michael,M,Asian,Europe,Sikh,M,5
Daniel,D,African,Europe,Zoroastrianism,M,6
Philipp,P,German,Europe,Christianity,M,7
Jonas,J,American,Europe,Christianity,M,8
Fabian,F,Irish,Europe,Christianity,M,9
Marcel,M,English,Europe,Christianity,M,1
Tim,T,Asian,Europe,Buddhism,M,2
Kevin,K,African,Europe,Christianity,M,3
Jan,J,German,Europe,Greek,M,4
David,D,American,Europe,Hindu,M,5
Tom,T,Irish,Europe,Islam,M,6
Markus,M,English,Europe,Jainism,M,7
Sebastian,S,Asian,Europe,Judaism,M,8
Julian,J,African,Europe,Shinto,M,9
leon,L,German,Europe,Sikh,M,1
Christoph,C,American,Europe,Zoroastrianism,M,2
Simon,S,Irish,Europe,Christianity,M,3
felix,F,English,Europe,Christianity,M,4
Jonas,J,Asian,Arab States,Christianity,M,8
Fabian,F,African,Arab States,Christianity,M,9
Marcel,M,German,Arab States,Christianity,M,1
Tim,T,American,Arab States,Buddhism,M,2
Kevin,K,Irish,Arab States,Christianity,M,3
Jan,J,English,Arab States,Greek,M,4
David,D,Asian,Arab States,Hindu,M,5
Tom,T,African,Arab States,Islam,M,6
Markus,M,German,Arab States,Jainism,M,7
Sebastian,S,American,Arab States,Judaism,M,8
Julian,J,Irish,Arab States,Shinto,M,9
leon,L,English,Arab States,Sikh,M,1
Christoph,C,Asian,Arab States,Zoroastrianism,M,2
Simon,S,African,Arab States,Christianity,M,3
felix,F,German,Arab States,Christianity,M,4
Jonas,J,American,North America,Christianity,M,8
Fabian,F,Irish,North America,Christianity,M,9
Marcel,M,English,North America,Christianity,M,1
Tim,T,Asian,North America,Buddhism,M,2
Kevin,K,African,North America,Christianity,M,3
Jan,J,German,North America,Greek,M,4
David,D,American,North America,Hindu,M,5
Tom,T,Irish,North America,Islam,M,6
Markus,M,English,North America,Jainism,M,7
Sebastian,S,Asian,North America,Judaism,M,8
Julian,J,African,North America,Shinto,M,9
leon,L,German,North America,Sikh,M,1
Christoph,C,American,North America,Zoroastrianism,M,2
Simon,S,Irish,North America,Christianity,M,3
felix,F,English,North America,Christianity,M,4
Anna,A,Asian,Africa,Christianity,F,4
Lisa,L,African,Africa,Christianity,F,5
Lena,L,German,Africa,Christianity,F,6
Sarah,S,American,Africa,Christianity,F,7
Katharina,K,Irish,Africa,Christianity,F,8
johanna,J,English,Africa,Christianity,F,9
Sophie,S,Asian,Africa,Christianity,F,1
Marie,M,African,Africa,Christianity,F,2
Leonie,L,German,Africa,Christianity,F,3
Vanessa,V,American,Africa,Christianity,F,4
Alina,A,Irish,Africa,Christianity,F,5
Lara,L,English,Africa,Christianity,F,6
Jana,J,Asian,Africa,Christianity,F,7
Hannah,H,African,Africa,Christianity,F,8
Jessica,J,German,Africa,Christianity,F,9
Annika,A,American,Africa,Christianity,F,1
Luisa,L,Irish,Africa,Christianity,F,2
Alex,A,English,Africa,Christianity,M,3
Lukas,L,Asian,Africa,Christianity,M,4
Michael,M,African,Africa,Christianity,M,5
Daniel,D,German,Africa,Christianity,M,6
Philipp,P,American,Africa,Christianity,M,7
Jonas,J,Irish,Africa,Christianity,M,8
Fabian,F,English,Africa,Christianity,M,9
Marcel,M,Asian,Africa,Christianity,M,1
Tim,T,African,Africa,Christianity,M,2
Kevin,K,German,Africa,Christianity,M,3
Jan,J,American,Africa,Christianity,M,4
David,D,Irish,Africa,Christianity,M,5
Tom,T,English,Africa,Christianity,M,6
Markus,M,Asian,Africa,Christianity,M,7
Sebastian,S,African,Africa,Christianity,M,8
Julian,J,German,Africa,Christianity,M,9
Jessica,J,American,South/Latin America,Shinto,F,9
Annika,A,Irish,South/Latin America,Sikh,F,1
Luisa,L,English,South/Latin America,Zoroastrianism,F,2
Alex,A,Asian,South/Latin America,Buddhism,M,3
Lukas,L,African,South/Latin America,Christianity,M,4
Michael,M,German,South/Latin America,Greek,M,5
Daniel,D,American,South/Latin America,Hindu,M,6
Philipp,P,Irish,South/Latin America,Islam,M,7
Jonas,J,English,South/Latin America,Jainism,M,8
Fabian,F,Asian,South/Latin America,Judaism,M,9
Marcel,M,African,South/Latin America,Shinto,M,1
Tim,T,German,South/Latin America,Sikh,M,2
Kevin,K,American,South/Latin America,Zoroastrianism,M,3
Aachman,A,Irish,Asia,Hinduism,M,1
Aadesh,A,English,Asia,Islam,M,2
Aadi,A,Asian,Asia,Christianity,M,3
Aafreen,A,African,Asia,Sikhism,M,4
Aakar,A,German,Asia,Buddhism,M,5
Aakash,A,American,Asia,Jainism,M,6
Aalap,A,Irish,Asia,Zoroastrianism,M,7
Aashika,A,English,Asia,Hinduism,F,8
Abha,A,Asian,Asia,Islam,F,9
Abhati,A,African,Asia,Christianity,F,1
Abhaya,A,German,Asia,Sikhism,F,2
Abhidha,A,American,Asia,Buddhism,F,3
Abhidhya,A,Irish,Asia,Jainism,F,4
Abhijna,A,English,Asia,Zoroastrianism,F,5
Adarsh,A,Asian,Asia,Hinduism,M,1
Atish,A,African,Asia,Islam,M,2
Ankit,A,German,Asia,Christianity,M,3
Adi,A,American,Asia,Sikhism,M,4
Abhi,A,Irish,Asia,Buddhism,M,1
Ashok,A,English,Asia,Jainism,M,2
Ani,A,Asian,Asia,Zoroastrianism,M,3
Adesh,A,African,Asia,Hinduism,F,4
Atin,A,German,Asia,Islam,F,1
Adarsh,A,American,Asia,Christianity,F,2
Atif,A,Irish,Asia,Sikhism,F,3
Afrid,A,English,Asia,Buddhism,F,4
Anwesh,A,Asian,Asia,Jainism,F,1
Adik,A,African,Asia,Zoroastrianism,F,2
Adin,A,German,Asia,Hinduism,M,3
Ani,A,American,Asia,Islam,M,4
Adesh,A,Irish,Asia,Christianity,M,1
